fifa_match_no,stage,group_name,home_team,away_team,home_placeholder,away_placeholder,kickoff_at,venue
1,GROUP,A,Mexico,South Africa,,,2026-06-11T19:00:00Z,Estadio Azteca
2,GROUP,A,Canada,Qualifier A,,,2026-06-12T00:00:00Z,BMO Field
3,GROUP,B,USA,Qualifier B,,,2026-06-12T23:00:00Z,SoFi Stadium
81,ROUND_OF_32,, , ,Winner Group A,Runner-up Group B,2026-06-28T19:00:00Z,TBD
82,ROUND_OF_32,,,,R32 Slot 3,R32 Slot 4,2026-06-28T23:00:00Z,TBD
83,ROUND_OF_32,,,,R32 Slot 5,R32 Slot 6,2026-06-29T19:00:00Z,TBD
84,ROUND_OF_32,,,,R32 Slot 7,R32 Slot 8,2026-06-29T23:00:00Z,TBD
85,ROUND_OF_32,,,,R32 Slot 9,R32 Slot 10,2026-06-30T19:00:00Z,TBD
86,ROUND_OF_32,,,,R32 Slot 11,R32 Slot 12,2026-06-30T23:00:00Z,TBD
87,ROUND_OF_32,,,,R32 Slot 13,R32 Slot 14,2026-07-01T19:00:00Z,TBD
88,ROUND_OF_32,,,,R32 Slot 15,R32 Slot 16,2026-07-01T23:00:00Z,TBD
89,ROUND_OF_32,,,,R32 Slot 17,R32 Slot 18,2026-07-02T19:00:00Z,TBD
90,ROUND_OF_32,,,,R32 Slot 19,R32 Slot 20,2026-07-02T23:00:00Z,TBD
91,ROUND_OF_32,,,,R32 Slot 21,R32 Slot 22,2026-07-03T19:00:00Z,TBD
92,ROUND_OF_32,,,,R32 Slot 23,R32 Slot 24,2026-07-03T23:00:00Z,TBD
93,ROUND_OF_32,,,,R32 Slot 25,R32 Slot 26,2026-07-04T19:00:00Z,TBD
94,ROUND_OF_32,,,,R32 Slot 27,R32 Slot 28,2026-07-04T23:00:00Z,TBD
95,ROUND_OF_32,,,,R32 Slot 29,R32 Slot 30,2026-07-05T19:00:00Z,TBD
96,ROUND_OF_32,,,,R32 Slot 31,R32 Slot 32,2026-07-05T23:00:00Z,TBD
97,ROUND_OF_16,,,,Winner Match 81,Winner Match 82,2026-07-06T19:00:00Z,TBD
98,ROUND_OF_16,,,,Winner Match 83,Winner Match 84,2026-07-06T23:00:00Z,TBD
99,ROUND_OF_16,,,,Winner Match 85,Winner Match 86,2026-07-07T19:00:00Z,TBD
100,ROUND_OF_16,,,,Winner Match 87,Winner Match 88,2026-07-07T23:00:00Z,TBD
101,ROUND_OF_16,,,,Winner Match 89,Winner Match 90,2026-07-08T19:00:00Z,TBD
102,ROUND_OF_16,,,,Winner Match 91,Winner Match 92,2026-07-08T23:00:00Z,TBD
103,ROUND_OF_16,,,,Winner Match 93,Winner Match 94,2026-07-09T19:00:00Z,TBD
104,ROUND_OF_16,,,,Winner Match 95,Winner Match 96,2026-07-09T23:00:00Z,TBD
105,QUARTER_FINAL,,,,Winner Match 97,Winner Match 98,2026-07-10T19:00:00Z,TBD
106,QUARTER_FINAL,,,,Winner Match 99,Winner Match 100,2026-07-10T23:00:00Z,TBD
107,QUARTER_FINAL,,,,Winner Match 101,Winner Match 102,2026-07-11T19:00:00Z,TBD
108,QUARTER_FINAL,,,,Winner Match 103,Winner Match 104,2026-07-11T23:00:00Z,TBD
109,SEMI_FINAL,,,,Winner Match 105,Winner Match 106,2026-07-14T00:00:00Z,TBD
110,SEMI_FINAL,,,,Winner Match 107,Winner Match 108,2026-07-15T00:00:00Z,TBD
111,FINAL,,,,Winner Match 109,Winner Match 110,2026-07-19T19:00:00Z,TBD
